日期,记录ID,ISBN,书名,价格,历史最高价,最高价日期
2026-09-02,8230ce7708ab49efa06cfd6b9c6d1af4,'9787559459480,呼啸山庄(插图珍藏版),14.70,,
2026-09-02,82eadebf61a849578eeb5070e7bc4735,'9787510881145,网内人,20.70,,
2026-09-02,86affc791afa4f3593d39b539d873bf2,'9787020139736,黄河东流去（茅盾文学奖获奖作品全集9）,15.50,,
2026-09-02,86fee845448f45d880ab2b01c8402a56,'9787540483432,病隙碎笔（纪念版）,11.20,,
2026-09-02,87f2b7d33356467abe934a7750a924aa,'9787559823861,陀思妥耶夫斯基的世界观,13.60,,
2026-09-02,87fc3fcde10d419f88b483e32b607c5f,'9787501269150,大博弈,16.10,,
2026-09-02,88481b6bed6a4bbcaca3b81b5f56138e,'9787020112463,哈利·波特与魔法石（全彩绘本）,21.30,,
2026-09-02,889d7b88d13042bf98cc631905982c2b,'9787020195268,酒吧长谈(刷边纪念版),9.50,,
2026-09-02,88e5b38493d641e5884ef9f74da5e331,'9787543897250,我是落花生的女儿,,,
2026-09-02,8ac2342317e44485995823d7014cc0b7,'9787532183616,不可言说,6.10,,
2026-09-02,8af1ed0c01dd4fdd99249fc8647ef9ba,'9787020151882,蓝熊船长的13条半命,15.70,,
2026-09-02,8db4a848faff48f5a477a319bfd71974,'9787563353286,写给孩子的哲学启蒙书（（第3卷））,,,
2026-09-02,9002f7490edd44c5875ba268d4fbb214,'9787559815545,复仇女神号（第一艘铁壳战舰的传奇）,2.10,,
2026-09-02,910e83861346402aa3e8a969bfacfcc1,'9787213119859,帝国余晖（现代英国的命运转折）,33.90,,
2026-09-02,92796317974f4af99f9edc22262dbdd4,'9787550190535,布鲁克林有棵树(全三册),19.50,,
2026-09-02,92bce6816c8944fbadbf1ff81c2b365a,'9787519045944,顽固与脆弱（古代历史上的泛权力）,1.70,,
2026-09-02,935e8a11591f4251ba1e407f4288a2cf,'9787220118043,苏东坡新传,14.90,,
2026-09-02,9b1d483565b9477ab9b8eb3b18963e6e,'9787558162169,羊皮卷,1.90,,
2026-09-02,9b93ba20259f4d71955df8bedb210dec,'9787563353248,写给孩子的哲学启蒙书（第1卷）,3.60,,
2026-09-02,9bf187f584b4446b97342dcf5cf3f5e6,'9787541158834,藏地诗篇,2.20,,
2026-09-02,9d36025b8ec5413aae00022fbb9fc36b,'9787108042996,邓小平时代,29.10,,
2026-09-02,9da5778f1f464d48b9a96187304a2eec,'9787020190539,群魔,5.00,,
2026-09-02,9db659fa85c6415aada177defa9ae9b9,'9787542669018,文学回忆录(1989-1994),43.10,,
2026-09-02,9f1889213aa24469a0c2be7922c060c1,'9787510886768,第三帝国的到来,29.50,,
2026-09-02,a0a300250bc64b10abfad0edac4e0cb6,'9787020127894,围城,4.00,,
